shop_id,review_date
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/12
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/11
tokyo/A1304/A130401/13045287,2018/10
tokyo/A1304/A130401/13045287,2018/10
tokyo/A1304/A130401/13045287,2018/10
tokyo/A1304/A130401/13045287,2018/10
tokyo/A1304/A130401/13045287,2018/10
tokyo/A1304/A130401/13054766,2018/12
tokyo/A1304/A130401/13054766,2018/12
tokyo/A1304/A130401/13054766,2018/12
tokyo/A1304/A130401/13054766,2018/12
tokyo/A1304/A130401/13054766,2018/12
tokyo/A1304/A130401/13054766,2018/12
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/11
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13001010,2018/12
tokyo/A1304/A130401/13001010,2018/12
tokyo/A1304/A130401/13001010,2018/12
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/11
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1309/A130902/13000848,2018/12
tokyo/A1309/A130902/13000848,2018/12
tokyo/A1309/A130902/13000848,2018/12
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/11
tokyo/A1309/A130902/13000848,2018/10
tokyo/A1309/A130902/13000848,2018/10
tokyo/A1309/A130902/13000848,2018/10
tokyo/A1309/A130902/13000848,2018/09
tokyo/A1309/A130902/13000848,2018/09
tokyo/A1309/A130902/13000848,2018/09
tokyo/A1304/A130401/13045287,2018/09
tokyo/A1304/A130401/13045287,2018/09
tokyo/A1304/A130401/13045287,2018/09
tokyo/A1304/A130401/13045287,2018/09
tokyo/A1304/A130401/13045287,2018/09
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/10
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13054766,2018/09
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/10
tokyo/A1304/A130401/13001010,2018/09
tokyo/A1304/A130401/13001010,2018/09
